date,time,name,gender,city,userLevel,score,content
2019-11-29,2019-11-29 01:34:16,Hilda Wu,0,杭州,4,5,1900与康纳相识的那个雷电交加的雨夜；1900与Jazz创始人对决的那个令众人屏息的夜晚；1900与那个女孩隔窗相望的动人时刻；废船爆炸前，1900的十指摆出弹奏姿势，想象手中的音符在隐形的琴键中流淌……整部电影中令我印象最深刻的四个片段，可能也是1900在船上的一生中最重要最辉煌的时刻。结局令人遗憾唏嘘，1900的音乐天赋正是因为在船上单纯的世界给予的，离开了船的陆地世界，太多欲望太多选择太多利益，1900无法再单纯的世界中创造音乐，所以选择与船一起结束生命。片尾，在一片废墟中，失去了钢琴的1900却还是打着整齐的领结，一袭得体的燕尾服，体面的和康纳相见与道别，他永远是一位钢琴师。
2019-11-29,2019-11-29 01:15:46,Jane julia,2,广州,1,5,从看完DVD的那一刻 就决定要收藏这张碟子。不知道重复看了几遍 每看一次 都有不一样的感受。 每次看完都希望有一天它能在电影院上映。期待了无数次 今年居然上映了。👍 
2019-11-29,2019-11-29 00:35:17,The dance continues.✨,1,珠海,4,0.5,看了30分钟睡着，40分钟走人
2019-11-29,2019-11-29 00:32:42,cxf805063758,0,重庆,2,3,还可以还可以
2019-11-29,2019-11-29 00:31:42,欲辨已忘言zxc,1,桂林,2,5,好看是好看呀
2019-11-29,2019-11-29 00:15:34,trR389895257,0,武汉,3,5,好看  钢琴🎹演奏太美
2019-11-29,2019-11-29 00:14:30,mljustice,1,北京,3,5,不错演员演的没毛病
2019-11-29,2019-11-29 00:13:45,'  消暖,2,西安,2,5,很悲伤的一个故事。一生能如此飘零的过，何尝不是另一种解脱……
2019-11-29,2019-11-29 00:04:53,悦杉Rebecca,0,天津,3,3.5,大银幕下的不同
2019-11-29,2019-11-29 00:03:53,爱动,0,广州,4,5,哭得不能自己！一路哭到回家。男主清澈的眼睛，纯粹的眼神，让我痴迷。多希望他在最后一刻走出船，可惜他没有，心痛死我
2019-11-28,2019-11-28 23:57:15,EsA802462157,1,常州,3,5,每个人感受都不同
